country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion
ARG,Argentina,47.618759749546136,4.0986548934781,1.7028967382810525,1773.9927200660923,507998970927.9103,12231.696789128739,8.24967695629134,-4.605367277598469,9.566666666666666,4.523809523809524,0.0,0.9047619047619048,0.5714285714285714,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,2.238095238095238,0.0,1.6666666666666667,0.0,0.0,1.7857142857142858,0.40476190476190477,0.0,0.19047619047619047
AUS,Australia,67.37252114456409,17.97696055003441,70.5286948390739,5527.395644888871,1192830863201.8901,53603.37686411334,26.817305282464048,5.240703750233739,8.442857142857143,8.095238095238095,0.0,0.0,0.0,3.180952342857143,0.0,0.0,1.9047619047619047,0.8095238095238095,0.8095238095238095,4.857142857142857,0.0,4.476190476190476,0.0,0.0,1.7857142857142858,0.0,6.523809523809524,3.380952380952381
AUT,Austria,68.45855514151405,8.505799631732291,9.53557769285774,3862.35841901725,360856993704.3514,42770.9602423255,10.34800362712149,10.429582229775079,30.385714285714286,6.666666666666667,0.0,0.0,0.0,0.0,1.2261904761904763,0.0,2.5238095238095237,4.5476190476190474,4.571428571428571,3.5714285714285716,0.0,5.238095238095238,0.2976190476190476,0.0,1.7857142857142858,0.7142857142857143,7.809523809523809,2.1904761904761907
BEL,Belgium,61.51305922693239,10.12933625252831,8.399609917828542,5148.817474131991,432230926228.4375,39626.47844675394,12.432693295326063,9.777993173762647,5.9904761904761905,6.190476190476191,0.0,0.0,0.0,0.0,1.6071428571428572,0.0,3.8095238095238093,4.5476190476190474,4.571428571428571,0.0,0.0,5.238095238095238,0.07142857142857142,0.0,1.4285714285714286,0.0,5.142857142857143,1.1428571428571428
BGR,Bulgaria,54.412655887541234,6.748001087659645,44.865818773539864,2547.1574340735406,45642836707.2802,6305.908809831122,8.477932772926962,3.46139282678168,13.519047619047617,6.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,3.9047619047619047,3.9285714285714284,4.238095238095238,0.0,0.0,0.0,0.0,1.7857142857142858,0.3333333333333333,0.0,1.4285714285714286
CAN,Canada,68.37694116289815,16.81954674189451,13.0526103160539,7993.546928929591,1428449346843.7996,41786.19418334127,22.3261045505886,3.777552625317457,21.604761904761904,4.761904761904762,2.1904761904761907,1.7142857142857142,1.8571428571428572,0.5142857000000001,1.0952380952380953,0.0,1.5714285714285714,4.380952380952381,4.380952380952381,2.6666666666666665,0.0,3.0476190476190474,0.0,0.10714285714285714,1.7857142857142858,1.0595238095238095,7.142857142857143,4.0476190476190474
CHE,Switzerland,70.30971738169555,5.539392714555713,0.0,3238.0465429285314,635298614485.0299,80543.63459440072,6.6797729791431095,3.0129740837833148,21.066666666666666,4.0476190476190474,0.0,0.0,0.0,4.0,4.964285714285714,0.0,1.7619047619047619,3.5476190476190474,3.5476190476190474,5.333333333333333,0.0,5.238095238095238,0.0,0.0,1.547619,0.6428571428571429,9.428571428571429,0.2857142857142857
CHL,Chile,58.06080249894378,4.185211975871826,26.586771448022287,1870.1818929398776,201388426988.69144,11555.225848937152,6.018445414372782,9.293068203530511,29.152380952380955,2.0238095238095237,2.0,1.3333333333333333,0.0,0.2857142857142857,0.6428571428571429,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,5.238095238095238,0.0,0.0,1.6666666190476191,1.0595238095238095,1.1428571428571428,2.8095238095238093
CHN,China,53.60049888972633,6.241922461390314,74.68030421000174,1762.2098590472776,8132927818475.998,5976.226276037326,7.670968514070632,3.034805329924895,16.4,5.476190476190476,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,4.190476190476191,1.8571428571428572,1.8571428571428572,2.238095238095238,0.0,3.619047619047619,0.0,0.0,1.3492063095238094,0.27380952380952384,0.0,0.47619047619047616
COL,Colombia,45.51076942425287,1.6032450267004723,6.475332590240211,754.2763843989045,238306948206.89417,5274.060754931552,3.8640297908718058,0.7098129503021041,30.357142857142858,2.142857142857143,1.2857142857142858,0.9523809523809523,0.5714285714285714,0.6666666666666666,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0714285714285714,0.8452380952380952,0.0,2.6666666666666665
CZE,Czech Republic,62.68726311375826,11.435405282886714,57.799846391312485,4172.244715951112,172693551083.3542,16537.743014020398,13.793393034208615,4.734077403507223,11.071428571428571,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,4.5476190476190474,4.571428571428571,3.2857142857142856,0.0,3.857142857142857,0.0,0.0,1.4285714285714286,0.0,4.190476190476191,1.0476190476190477
DEU,Germany,68.5807285053265,9.823056303825265,44.31550217314707,3924.6855301302635,3228406371220.463,39345.70286593233,11.393768693073449,16.830021563524177,11.042857142857143,5.714285714285714,0.0,0.0,0.0,0.40952380476190475,0.35714285714285715,0.0,2.5238095238095237,4.5476190476190474,4.571428571428571,4.428571428571429,0.0,2.9047619047619047,0.10119047619047619,0.5,1.7857142857142858,1.8333333333333333,7.190476190476191,2.5714285714285716
DNK,Denmark,70.28008324603204,8.101932947861354,37.84381578781471,3251.901973394768,292760879056.3124,52588.562167424374,10.764064859942597,41.10403785431502,23.219047619047622,6.190476190476191,0.0,0.0,5.904761904761905,2.2476190857142857,0.9047619047619048,0.0,3.142857142857143,4.5476190476190474,4.571428571428571,2.1904761904761907,0.23809523809523808,4.571428571428571,1.0238095238095237,0.4642857142857143,1.7857142857142858,1.1547619047619047,9.714285714285714,2.5238095238095237
ESP,Spain,60.96513826328599,6.696906318314497,19.294670701725835,2823.011272717882,1173852141019.47,25997.745762722472,8.433840153921299,16.699163999419333,12.761904761904763,5.238095238095238,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,2.8095238095238093,4.5476190476190474,4.571428571428571,3.238095238095238,0.0,3.761904761904762,0.0,0.21428571428571427,1.4285714285714286,1.119047619047619,5.666666666666667,3.5714285714285716
EST,Estonia,61.86254961766702,14.974316497619416,86.91770719582328,3980.916870109819,21272277803.543404,15915.44229740662,18.24370202537541,9.265742867521402,24.085714285714285,4.285714285714286,2.761904761904762,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,4.5476190476190474,4.571428571428571,2.761904761904762,0.0,5.142857142857143,0.0,0.0,1.7857142857142858,0.5238095238095238,2.7142857142857144,0.0
FIN,Finland,72.7648681490158,10.660117640338385,19.945947650921216,6435.970599867105,230661917845.4446,42993.65047896072,13.746034817254884,17.07868602827304,36.44285714285714,6.904761904761905,0.0,0.0,7.095238095238095,2.419047580952381,1.119047619047619,0.0,1.7619047619047619,4.5476190476190474,4.571428571428571,0.0,0.0,5.238095238095238,0.49404761904761907,0.0,1.7857142857142858,1.4285714285714286,9.666666666666666,2.1904761904761907
FRA,France,66.25795016598221,5.6842456597207,3.7686344150192483,3966.1649230032067,2319981130112.837,35793.397150732766,7.7044067353284,3.909183452260273,11.609523809523811,7.619047619047619,0.0,0.0,2.1904761904761907,0.7809523619047619,1.2261904761904763,0.0,0.9523809523809523,4.5476190476190474,4.571428571428571,3.9523809523809526,0.0,4.666666666666667,0.23809523809523808,0.5476190476190477,1.7857142857142858,1.5119047619047619,7.142857142857143,4.714285714285714
GBR,United Kingdom,69.29298579239578,7.688227933228786,26.131584439662884,3169.6582268396223,2744286280232.2446,43635.49172655545,9.751834302591355,12.583544270400534,4.647619047619047,9.047619047619047,0.0,0.0,0.0,5.580952371428571,1.1547619047619047,7.809523809523809,3.142857142857143,5.0,4.571428571428571,1.9047619047619047,0.0,2.4285714285714284,0.05357142857142857,0.6428571428571429,1.7857142857142858,1.7619047619047619,5.0,3.5238095238095237
GRC,Greece,57.30767707351118,7.810831378792438,48.764113403645936,2414.4378555858616,217985920420.19495,19943.584924564075,9.822597333441179,9.590501145932294,12.214285714285714,5.238095238095238,0.0,0.0,0.0,0.49523807619047616,0.40476190476190477,0.0,0.8095238095238095,4.5476190476190474,4.571428571428571,4.333333333333333,0.0,4.142857142857143,0.0,0.0,1.7857142857142858,0.40476190476190477,1.9047619047619047,3.4761904761904763
HRV,Croatia,54.39117208605618,4.803464133823744,16.233993437500278,2126.4224694851405,50472577103.39677,11993.163445576212,6.467253786787839,5.427629735361749,28.585714285714282,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,1.9047619047619047,2.3095238095238093,2.3333333333333335,2.238095238095238,0.0,0.0,0.0,0.0,1.4285714285714286,0.3333333333333333,0.0,0.8571428571428571
HUN,Hungary,57.61623976761273,5.42345460831734,19.54943024626458,2610.8420119650536,118005686004.3457,11882.262391952168,7.300323921951126,6.500673157020397,11.223809523809523,8.571428571428571,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,2.1904761904761907,4.5476190476190474,4.571428571428571,2.0,0.0,3.857142857142857,0.0,0.0,1.7857142857142858,0.7738095238095238,4.809523809523809,1.380952380952381
IDN,Indonesia,45.92250310410374,1.805318125977103,48.68246847055688,685.8636427936434,687334668814.0183,2743.968654559331,3.003518746973649,9.131837679509497,34.37142857142857,3.8095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,1.380952380952381,0.0,0.0,2.4285714285714284,0.0,1.5238095238095237,0.0,0.0,1.7460317857142857,0.0,0.0,0.9523809523809523
IND,India,43.53938241025368,1.3863734424790546,70.58095094505109,524.9248955116329,1618350661812.3457,1274.1052385339553,2.1697263527912662,2.810268395394032,38.67619047619048,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,4.190476190476191,0.0,0.0,2.5238095238095237,0.0,2.1904761904761907,0.0,0.0,1.0714285714285714,0.0,0.0,1.7142857142857142
