country_code,Name,year,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,LEV2_CROSS_SEC_CG,LEV3_BAN_PHOUT_COAL,LEV3_CARBONTAX_I,LEV3_NZ,LEV4_BAN_COAL_STAT,LEV4_BAN_EXTRAC_DATE,LEV4_CARBONTAX_T,LEV4_EE_MANDATE,LEV4_ETS_E_GHG,LEV4_FIT_SOL_PR,LEV4_NZ_DATE,LEV4_RENEWABLE_EXP
ARG,Argentina,2000,48.6497515003662,3.67485781688948,1.7619165336989,1643.32131961789,395646066535.875,10631.6503639029,7.75099220766043,-7.47880756006023,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2001,47.2682480515612,3.49042420795313,1.21791601038223,1518.56737304195,378202665751.853,10051.9448463043,7.58809376522017,-9.75152516804579,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2002,46.2784953230811,3.26103662726385,0.848649606997222,1484.25701881625,336999433710.193,8861.56199282278,7.48215016775596,-9.79444477276757,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2003,46.8410873173516,3.51848864736106,0.804769972631305,1590.61721067918,366780211148.674,9545.53194119994,7.96109866151825,-8.06667318302272,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2004,46.762317137307,3.85579719412006,1.51178212786326,1740.90890259945,399898899166.738,10302.4465316428,8.3639221601778,-6.53791920541689,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2005,48.1319645987538,3.91742679391727,1.91549508835292,1712.4320350003,435296589745.339,11099.7509190602,8.39907112231958,-6.77995442899148,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2006,46.9795441490034,4.1027920897206,1.822044356687,1784.01669776279,470325565798.353,11870.2791559298,8.64874325865745,-7.31189838158034,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,2007,47.5480701614747,4.32534235715168,1.93491567220045,1845.91422802344,512690850741.56,12811.9021206578,8.85536643731028,-5.62458936985336,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ARG,Argentina,2008,47.1504951687258,4.43359004127929,2.25052695465319,1889.40923801554,533491913656.279,13197.3570267029,8.83174829065043,-4.89543743387437,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ARG,Argentina,2009,47.0054187745824,4.03429401041948,1.94608820740838,1722.74402909882,501917060966.235,12285.3784651865,8.1618768659207,-5.45778435282963,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
