country_code,Name,year,nd_gain_score
ARG,Argentina,2015,46.5070027657743
AUS,Australia,2015,68.9435351867462
BRA,Brazil,2015,48.7908505220059
CAN,Canada,2015,69.681334689472
CHN,China,2015,52.8817706280889
FRA,France,2015,67.7142117356694
DEU,Germany,2015,70.4538733501957
IND,India,2015,38.6009074345646
IDN,Indonesia,2015,43.8505937179336
ITA,Italy,2015,58.3109297675283
JPN,Japan,2015,66.3771383074841
KOR,"Korea, Republic of",2015,68.0015955959362
MEX,Mexico,2015,49.4180988546084
RUS,Russian Federation,2015,58.9034392100827
SAU,Saudi Arabia,2015,52.8086558197234
ZAF,South Africa,2015,48.2326592001325
TUR,Turkey,2015,53.6850729953663
GBR,United Kingdom,2015,71.6555564196367
USA,United States,2015,68.5879798176069
ARG,Argentina,2016,48.2492613940544
AUS,Australia,2016,68.8474200823646
BRA,Brazil,2016,49.0402334126452
CAN,Canada,2016,69.1379253665704
CHN,China,2016,52.9850340842262
FRA,France,2016,67.1295692757212
DEU,Germany,2016,69.6988409598884
IND,India,2016,40.5477723469146
IDN,Indonesia,2016,44.1149312252008
ITA,Italy,2016,57.9967684454805
JPN,Japan,2016,65.6092317225444
KOR,"Korea, Republic of",2016,67.2353681588232
MEX,Mexico,2016,49.2413033889705
RUS,Russian Federation,2016,59.9660869039705
SAU,Saudi Arabia,2016,54.1156343730832
ZAF,South Africa,2016,49.2590301474284
TUR,Turkey,2016,52.7917108175785
GBR,United Kingdom,2016,70.8948764084828
USA,United States,2016,67.9723037999352
ARG,Argentina,2017,48.3741501669285
AUS,Australia,2017,68.1700782606623
BRA,Brazil,2017,48.7896296674684
CAN,Canada,2017,68.9071740115099
CHN,China,2017,53.551256773883
FRA,France,2017,67.3864346143506
DEU,Germany,2017,69.5363646114817
IND,India,2017,41.796222884676
IDN,Indonesia,2017,45.2555852767247
ITA,Italy,2017,57.7730765868594
JPN,Japan,2017,65.9581714503722
KOR,"Korea, Republic of",2017,67.4494196430384
MEX,Mexico,2017,49.1920243468072
RUS,Russian Federation,2017,59.9345679702944
SAU,Saudi Arabia,2017,54.0424713729958
ZAF,South Africa,2017,48.4241695194125
TUR,Turkey,2017,53.5415297437192
GBR,United Kingdom,2017,70.5880823021759
USA,United States,2017,68.1110272776041
ARG,Argentina,2018,49.5483466360883
AUS,Australia,2018,69.0073465571404
BRA,Brazil,2018,48.7204887907916
CAN,Canada,2018,68.384977803395
CHN,China,2018,53.8626399129298
FRA,France,2018,67.2858366157627
DEU,Germany,2018,69.5503223061246
IND,India,2018,42.5856619382778
IDN,Indonesia,2018,45.8977782209325
ITA,Italy,2018,58.4673007187994
JPN,Japan,2018,65.7800848456646
KOR,"Korea, Republic of",2018,67.7132025533264
MEX,Mexico,2018,49.1829836082475
RUS,Russian Federation,2018,60.4989667513036
SAU,Saudi Arabia,2018,54.3377596431262
ZAF,South Africa,2018,48.0358608395161
TUR,Turkey,2018,53.6833085525568
GBR,United Kingdom,2018,70.1482728901942
USA,United States,2018,67.8088322943394
ARG,Argentina,2019,49.5190400565012
AUS,Australia,2019,68.9924876922804
BRA,Brazil,2019,48.9180375865999
CAN,Canada,2019,68.2950754715445
CHN,China,2019,57.2026332822253
FRA,France,2019,67.9177487610767
DEU,Germany,2019,69.3665318052961
IND,India,2019,43.4888110931742
IDN,Indonesia,2019,47.1187197656166
ITA,Italy,2019,58.5332207738015
JPN,Japan,2019,65.6988390239223
KOR,"Korea, Republic of",2019,67.6949996492533
MEX,Mexico,2019,48.8860757983101
RUS,Russian Federation,2019,60.8671040450662
SAU,Saudi Arabia,2019,55.9150204024871
ZAF,South Africa,2019,48.0577502522081
TUR,Turkey,2019,54.5015292243998
GBR,United Kingdom,2019,70.3040757487934
USA,United States,2019,67.0721879928559
ARG,Argentina,2020,49.8621251462768
AUS,Australia,2020,68.3406404821835
BRA,Brazil,2020,49.1665523498819
