country_code,Name,nd_gain_score,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,renewable_electricity_pct,renewable_final_energy_pct,LEV2_CROSS_SEC_CG,LEV3_BAN_PHOUT_COAL,LEV3_CARBONTAX_I,LEV3_NZ,LEV4_BAN_COAL_STAT,LEV4_BAN_EXTRAC_DATE,LEV4_CARBONTAX_T,LEV4_EE_MANDATE,LEV4_ETS_E_GHG,LEV4_FIT_SOL_PR,LEV4_NZ_DATE,LEV4_RENEWABLE_EXP
ARG,Argentina,48.94322482973443,1.5556096744856829,1808.323902649241,578728203401.325,12938.066640722021,0.6015388776929599,9.914285714285715,0.0,0.0,3.0,3.138888888888889,0.0,0.0,2.3333333333333335,3.0,0.0,4.444444444444445,2.7777777777777777,0.7777777777777778
AUS,Australia,68.78592205177057,56.8598387301636,5116.8172190672185,1490022162681.6445,59051.331385170495,12.630239110395019,10.357142857142858,7.2000000222222225,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,4.111111111111111,0.0,8.444444444444445,1.6666666666666667,7.555555555555555
CAN,Canada,68.56378226281078,6.866598403436624,7781.277581208408,1668147271969.9233,44358.20591061897,7.225391808101906,22.8,4.266666566666667,4.472222222222222,3.2222222222222223,5.388888888888889,3.888888888888889,0.0,4.555555555555555,5.333333333333333,10.0,0.0,3.3333333333333335,8.777777777777779
CHN,China,56.0289400821298,65.29401713438754,2429.5899474411044,14440406248064.855,10287.702908844465,8.471952689131912,13.685714285714285,2.0,0.0,0.0,2.5555555555555554,0.0,0.0,0.0,7.777777777777778,8.666666666666666,3.111111111111111,1.3333333333333333,2.0
DEU,Germany,69.49020482896046,33.91758636773721,3505.072892648638,3605516345999.264,43522.367334035895,32.3610171109002,16.17142857142857,2.7111111222222224,2.0833333333333335,0.0,7.361111111111111,2.7777777777777777,0.0,0.0,8.0,8.0,1.2222222222222223,5.111111111111111,6.111111111111111
FRA,France,67.38925071295165,1.5878667920542147,3492.4791238565845,2546412902409.939,37766.55808867372,8.834559990398635,15.042857142857143,4.333333277777778,4.666666666666667,0.0,6.444444444444445,3.888888888888889,1.6666666666666667,7.333333333333333,4.0,8.0,4.333333333333333,3.888888888888889,8.777777777777779
GBR,United Kingdom,70.32113162998232,6.130422746095295,2483.9496430126187,3104098225082.202,46597.62989646182,31.270014284207726,10.228571428571428,9.422222022222222,4.527777777777778,0.0,7.027777777777778,3.888888888888889,0.0,0.0,8.0,8.0,1.1111111111111112,3.5555555555555554,9.0
IDN,Indonesia,46.49831821891164,63.24788849365892,835.4838323590442,1017570234374.3348,3735.386587062077,8.417094967171106,23.357142857142858,0.0,0.3333333333333333,0.0,2.3333333333333335,0.0,0.0,0.0,4.222222222222222,1.0,3.5555555555555554,1.0,1.8888888888888888
IND,India,43.085082925049704,73.69213096005042,669.3383056799428,2628976546680.216,1891.941842471321,6.292191188173328,33.75714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3.4444444444444446,0.3333333333333333,4.555555555555555
ITA,Italy,58.66255852778985,9.322081623261402,2461.490955859921,1903033425675.7546,31913.55182834689,23.3612262914545,17.1,0.0,4.083333333333333,0.0,4.0,3.888888888888889,0.0,0.0,4.333333333333333,8.0,3.3333333333333335,2.7777777777777777,7.0
JPN,Japan,65.8326941352501,31.140847493770156,3242.099966001335,4513946281444.457,35758.011293446616,9.037977119816327,7.4142857142857155,0.0,0.0,2.6666666666666665,3.75,0.0,0.0,2.4444444444444446,6.111111111111111,0.0,6.888888888888889,2.2222222222222223,6.0
KOR,"Korea, Republic of",67.85929419883439,39.72391544852628,5380.2841795217755,1716824538487.1023,33296.87642965627,3.527878545019503,3.1,3.044444511111111,0.9166666666666666,0.0,4.555555555555555,1.6666666666666667,0.0,0.0,5.666666666666667,10.0,0.0,2.7777777777777777,7.222222222222222
MEX,Mexico,48.98375060542223,8.140285783983412,1486.19458057616,1255330949904.118,10000.772487852732,8.606954303928996,10.62857142857143,1.7777777777777777,3.6944444444444446,1.3333333333333333,0.7777777777777778,3.888888888888889,0.0,2.0,3.6666666666666665,2.6666666666666665,0.0,1.1111111111111112,7.0
RUS,Russian Federation,59.63675211100425,15.985264592093662,5169.275444573122,1441239903574.969,9785.276801215277,0.26709885221350227,3.342857142857143,0.0,0.0,0.0,1.6944444444444444,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.8888888888888888
SAU,Saudi Arabia,55.780974255249966,0.0,7562.601382226609,756480961295.498,24273.9535213116,0.04309429026840509,0.028571428571428574,0.0,4.25,0.0,1.6666666666666667,0.0,0.0,0.0,4.777777777777778,0.0,0.0,1.0,2.7777777777777777
TUR,Turkey,54.354143667201825,33.94760070182959,1788.0748388820002,1044280559091.8097,12673.250820798501,12.323140266137086,12.785714285714286,0.0,0.0,0.0,1.75,0.0,0.0,0.0,4.0,0.0,7.777777777777778,1.3333333333333333,7.888888888888889
ZAF,South Africa,48.25920414807279,86.40303831258552,2145.3456550062447,353630884831.6069,5927.474506510661,2.4992357843957644,8.5,1.0444444555555554,0.1111111111111111,3.4444444444444446,3.3333333333333335,0.0,0.0,2.111111111111111,6.0,0.0,0.0,2.2222222222222223,7.444444444444445
