Country_code_A3,Year,LEV2_CROSS_SEC_CG,LEV3_BAN_PHOUT_COAL,LEV3_CARBONTAX_I,LEV3_NZ,LEV4_BAN_COAL_STAT,LEV4_BAN_EXTRAC_DATE,LEV4_CARBONTAX_T,LEV4_EE_MANDATE,LEV4_ETS_E_GHG,LEV4_FIT_SOL_PR,LEV4_NZ_DATE,LEV4_RENEWABLE_EXP
ARG,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ARG,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
ARG,2018,0.0,0.0,7.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0
ARG,2019,0.0,0.0,6.0,4.25,0.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0
ARG,2020,0.0,0.0,6.0,4.25,0.0,0.0,3.0,4.0,0.0,10.0,5.0,1.0
ARG,2021,0.0,0.0,6.0,4.25,0.0,0.0,3.0,4.0,0.0,10.0,5.0,1.0
ARG,2022,0.0,0.0,1.0,7.5,0.0,0.0,3.0,4.0,0.0,10.0,5.0,1.0
ARG,2023,0.0,0.0,1.0,8.0,0.0,0.0,3.0,4.0,0.0,10.0,5.0,1.0
AUS,2015,7.5999999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,6.0
AUS,2016,7.4000001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,6.0
AUS,2017,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,6.0
AUS,2018,6.5999999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,7.0
AUS,2019,6.4000001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,7.0
AUS,2020,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,9.0
AUS,2021,7.0,0.0,0.0,7.5,0.0,0.0,0.0,4.0,0.0,8.0,5.0,9.0
AUS,2022,7.1999998,0.0,0.0,8.75,0.0,0.0,0.0,4.0,0.0,6.0,5.0,9.0
AUS,2023,8.6000004,0.0,0.0,8.75,0.0,0.0,0.0,5.0,0.0,7.0,5.0,9.0
CAN,2015,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,9.0
CAN,2016,0.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,9.0
