Country Climate Trajectories (cluster sequence per year)

Country                   Sequence
--------------------------------------------------------------------------------
Argentina                 2 → 2 → 4 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 0 → 0 → 5 → 5 ★
Australia                 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 ★
Austria                   0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 → 1 → 1 → 1 → 1 ★
Belgium                   2 → 2 → 2 → 2 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 → 1 → 1 → 1 ★
Brazil                    4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4
Canada                    2 → 2 → 2 → 2 → 2 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 → 5 → 1 → 1 → 1 ★
Switzerland               2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 5 → 5 → 5 → 5 → 5 → 5 → 5 → 1 → 1 → 1 → 1 ★
Chile                     4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 1 → 1 → 1 ★
China                     4 → 4 → 4 → 4 → 4 → 4 → 4 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 ★
Colombia                  4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 5 → 5 → 5 → 5 ★
Czech Republic            2 → 2 → 2 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 ★
Germany                   2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 → 5 → 5 → 1 → 1 ★
Denmark                   0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 → 5 → 5 → 1 → 1 → 1 → 3 ★
